,idav,idsps,type,iters,ntrans,emax,barrier,prefactor,ebias,dtot,dmag,dmax,dsum,adsum,nad,dtotfs,dmagfs,dmaxfs,dsumfs,adsumfs,nadfs,dtotfi,dmagfi,dmaxfi,dsumfi,adsumfi,nadfi,precursor,isConnect,reason
3,3,8,9,1259,190,3.336,0.436,10.0,0.345,2.549,0.79,0.733,1.097,2.368,17,1.486,0.435,0.39,0.263,1.425,17,3.039,1.171,1.122,1.359,2.882,12,1,1,DupAV
4,3,0,1,1856,294,7.973,0.434,10.0,0.343,2.606,0.778,0.72,0.492,2.423,16,1.504,0.439,0.395,0.461,1.435,15,3.087,1.165,1.115,0.953,2.932,12,1,1,Dup
5,3,4,5,1332,210,4.263,0.436,10.0,0.345,2.548,0.79,0.733,1.097,2.368,17,1.485,0.435,0.39,0.263,1.425,17,3.039,1.171,1.122,1.359,2.882,12,1,1,Dup
0,4,6,7,2089,337,11.076,0.637,10.0,0.549,2.916,0.872,0.808,0.574,2.714,17,1.393,0.405,0.364,0.431,1.334,15,3.274,1.224,1.172,1.005,3.081,12,1,1,DupAV
1,4,7,8,1680,278,7.673,0.64,10.0,0.551,2.922,0.873,0.809,0.569,2.72,17,1.392,0.404,0.364,0.431,1.333,15,3.277,1.225,1.172,1.001,3.084,12,1,1,DupAV
2,4,8,9,2168,344,10.879,0.64,10.0,0.551,2.923,0.873,0.809,0.569,2.72,17,1.392,0.404,0.364,0.432,1.334,15,3.277,1.225,1.172,1.001,3.084,12,1,1,DupAV
3,4,9,10,2312,384,13.239,0.646,10.0,0.553,2.846,0.866,0.808,0.603,2.654,17,1.371,0.393,0.354,0.427,1.313,13,3.208,1.212,1.162,1.031,3.023,10,1,1,DupAV
0,5,9,10,1519,236,5.203,0.641,10.0,0.552,2.835,0.875,0.812,0.805,2.634,18,1.36,0.404,0.363,0.367,1.305,15,3.238,1.227,1.175,1.171,3.048,12,1,1,DupAV
1,5,0,1,1826,286,8.186,0.641,10.0,0.552,2.835,0.875,0.812,0.805,2.634,18,1.36,0.404,0.363,0.367,1.305,15,3.238,1.227,1.175,1.171,3.048,12,1,1,Dup
2,5,1,2,1455,230,5.365,0.64,10.0,0.551,2.831,0.874,0.811,0.812,2.63,18,1.36,0.404,0.364,0.365,1.304,15,3.236,1.227,1.174,1.176,3.045,12,1,1,Dup
3,5,8,9,1713,275,7.386,0.638,10.0,0.549,2.825,0.873,0.81,0.813,2.626,18,1.361,0.405,0.364,0.364,1.305,15,3.233,1.226,1.174,1.177,3.043,12,1,1,Dup
0,6,8,9,2015,326,10.983,0.647,10.0,0.553,2.83,0.864,0.805,0.571,2.638,18,1.372,0.397,0.358,0.439,1.313,12,3.195,1.214,1.163,1.01,3.011,10,1,1,DupAV
